sample_idx,rtt_ms
980,0.095680
981,0.111915
982,0.094682
983,0.094607
984,0.110999
985,0.095025
986,0.094585
987,0.111982
988,0.094600
989,0.094049
990,0.112236
991,0.109553
992,0.094064
993,0.094838
994,0.091821
995,0.094391
996,0.103764
997,0.094399
998,0.095069
999,0.094838
1000,0.094183
1001,0.094898
1002,0.094533
1003,0.095606
1004,0.094369
1005,0.110894
1006,0.095047
1007,0.095353
1008,0.123754
1009,0.095077
1010,0.092842
1011,0.112496
1012,0.101238
1013,0.094719
1014,0.104971
1015,0.094429
1016,0.095144
1017,0.106387
1018,0.097156
1019,0.101119
1020,0.099428
1021,0.095017
1022,0.094756
1023,0.111409
1024,0.093035
1025,0.094369
1026,0.094831
1027,0.094630
1028,0.094675
1029,0.094712
1030,0.104010
1031,0.094958
1032,0.094950
1033,0.110961
1034,0.104263
1035,0.102729
1036,0.094935
1037,0.095338
1038,0.095382
1039,0.106789
1040,0.091590
1041,0.095032
1042,0.103839
1043,0.095345
1044,0.095397
1045,0.126749
1046,0.095032
1047,0.093721
1048,0.110641
1049,0.095442
1050,0.095338
1051,0.114001
1052,0.094198
1053,0.095211
1054,0.106424
1055,0.094309
1056,0.094697
1057,0.109479
1058,0.101656
1059,0.094660
1060,0.094898
1061,0.094071
1062,0.095189
1063,0.106983
1064,0.095323
1065,0.095122
1066,0.106901
1067,0.095360
1068,0.095583
1069,0.094980
1070,0.096150
1071,0.095099
1072,0.114292
1073,0.095934
1074,0.094905
1075,0.122420
1076,0.095911
1077,0.093289
1078,0.108451
1079,0.095151
1080,0.095278
1081,0.121564
1082,0.095002
1083,0.095084
1084,0.108764
1085,0.094764
1086,0.094749
1087,0.113256
1088,0.098079
1089,0.095092
1090,0.094548
1091,0.093609
1092,0.094742
1093,0.110470
1094,0.095837
1095,0.094578
1096,0.108987
1097,0.095375
1098,0.104375
1099,0.109732
1100,0.092775
1101,0.094824
1102,0.108622
1103,0.095174
1104,0.094697
1105,0.103250
1106,0.094347
1107,0.093758
1108,0.112936
1109,0.102997
1110,0.094362
1111,0.095330
1112,0.096306
1113,0.094995
1114,0.113629
1115,0.094742
1116,0.094973
1117,0.103369
1118,0.094876
1119,0.095680
1120,0.094764
1121,0.093274
1122,0.109732
1123,0.098810
1124,0.095226
1125,0.096552
1126,0.106074
1127,0.094883
1128,0.094838
1129,0.098526
1130,0.092559
1131,0.095122
1132,0.113800
1133,0.095710
1134,0.094965
1135,0.115760
1136,0.094935
1137,0.092849
1138,0.105716
1139,0.094905
1140,0.094309
1141,0.105239
1142,0.094794
1143,0.094451
1144,0.111066
1145,0.094876
1146,0.095241
1147,0.100821
1148,0.097290
1149,0.094682
1150,0.110894
1151,0.092380
1152,0.094466
1153,0.103436
1154,0.094168
1155,0.094987
1156,0.095874
1157,0.095710
1158,0.094913
1159,0.103422
1160,0.105470
1161,0.094756
1162,0.110433
1163,0.106722
1164,0.095136
1165,0.093922
1166,0.103779
1167,0.097655
1168,0.110857
1169,0.094607
1170,0.094697
1171,0.094697
1172,0.117898
1173,0.095457
1174,0.093393
1175,0.110887
1176,0.094689
1177,0.095084
1178,0.108689
1179,0.095069
1180,0.097528
1181,0.105545
1182,0.094600
1183,0.093713
1184,0.110857
1185,0.099696
1186,0.094354
1187,0.094466
1188,0.093699
1189,0.094667
1190,0.109389
1191,0.094891
1192,0.094734
1193,0.108100
1194,0.094831
1195,0.095248
1196,0.113115
1197,0.112034
1198,0.105850
1199,0.117794
1200,0.094980
1201,0.095174
1202,0.095144
1203,0.109918
1204,0.095628
1205,0.094667
1206,0.095136
1207,0.094861
1208,0.094406
1209,0.109397
1210,0.107706
1211,0.103250
1212,0.121847
1213,0.095673
1214,0.102840
1215,0.094272
1216,0.105925
1217,0.095077
1218,0.095159
1219,0.094868
