logical_flow,size_bytes,n_pkts,tx_first_s,tx_last_s
355,1377305,919,33744457.380214743,33744457.385866851
356,845811,564,33744457.385871939,33744457.389408745
357,14774,10,33744457.389413632,33744457.389484659
358,56262,38,33744457.389488295,33744457.389729723
359,11156,8,33744457.389734097,33744457.389781542
360,1108220,739,33744457.389785111,33744457.394389249
361,595364,397,33744457.394394219,33744457.396836370
362,24753,17,33744457.396841049,33744457.396951526
363,2687,2,33744457.396959089,33744457.396972522
364,9366049,6245,33744457.396976039,33744457.436561912
365,2157101,1439,33744457.436567836,33744457.445856430
366,102952,69,33744457.445861615,33744457.446266606
367,92847,62,33744457.446270622,33744457.446664542
368,3199956,2134,33744457.446668498,33744457.460491769
369,60628,41,33744457.460497282,33744457.460743830
370,48916,33,33744457.460748136,33744457.460940406
371,36551,25,33744457.460944034,33744457.461090088
372,25299,17,33744457.461093850,33744457.461193517
373,1454,1,33744457.461197302,33744457.461204752
374,422302,282,33744457.461208075,33744457.462928645
375,53108,36,33744457.462933227,33744457.463162221
376,136118,91,33744457.463166043,33744457.463722035
377,2603,2,33744457.463729173,33744457.463744774
378,39720,27,33744457.463748515,33744457.463913418
379,8353,6,33744457.463929109,33744457.463969365
380,6826,5,33744457.463973165,33744457.464012563
381,25416,17,33744457.464016795,33744457.464118190
382,2607182,1739,33744457.464121789,33744457.474946149
383,49440,33,33744457.474951290,33744457.475169756
384,50196,34,33744457.475174129,33744457.475379713
385,244352,163,33744457.475383833,33744457.476382636
386,22912,16,33744457.476386994,33744457.476488613
387,1121,1,33744457.476492681,33744457.476499744
388,79625,54,33744457.476502918,33744457.476838119
389,72010,49,33744457.476841927,33744457.477146365
390,438938,293,33744457.477150209,33744457.478957988
391,57429,39,33744457.478962250,33744457.479201607
392,804879,537,33744457.479205362,33744457.482580312
393,1243338,829,33744457.482585020,33744457.487808242
394,23367,16,33744457.487812936,33744457.487917580
395,70509,48,33744457.487921312,33744457.488241956
396,66487,45,33744457.488250226,33744457.488542974
397,22139,15,33744457.488546871,33744457.488632374
398,52263,35,33744457.488635719,33744457.488851368
399,119111,80,33744457.488855131,33744457.489358686
400,5355658,3571,33744457.489362761,33744457.511780553
401,5958211,3973,33744457.511785761,33744457.536635302
402,27132,19,33744457.536640912,33744457.536782727
403,422141,282,33744457.536787242,33744457.538540632
404,2095,2,33744457.538545184,33744457.538558505
405,2999,2,33744457.538561925,33744457.538586371
406,74876,50,33744457.538590170,33744457.538921282
407,4065663,2711,33744457.538925588,33744457.556149021
408,11402,8,33744457.556154460,33744457.556203425
409,1580387,1054,33744457.556207299,33744457.562834315
410,4279157,2853,33744457.562839441,33744457.580783360
411,31864,22,33744457.580788575,33744457.580919757
412,887105,592,33744457.580923580,33744457.584735647
413,3133179,2089,33744457.584744096,33744457.598437682
414,43251,29,33744457.598443873,33744457.598637573
415,1008930,673,33744457.598641708,33744457.603000320
416,1287150,859,33744457.603005417,33744457.608735539
417,186296,125,33744457.608740576,33744457.609518722
418,3349494,2233,33744457.609534211,33744457.623811722
419,4846826,3232,33744457.623816691,33744457.644548796
420,9064308,6043,33744457.644554123,33744457.684128761
421,137243,92,33744457.684134826,33744457.684726514
422,14394,10,33744457.684730805,33744457.684797317
423,24554,17,33744457.684801519,33744457.684902355
424,21481,15,33744457.684906073,33744457.684995569
425,134196,90,33744457.684998989,33744457.685528964
426,1492262,995,33744457.685532741,33744457.691890858
427,2226,2,33744457.691895902,33744457.691909425
428,744122,497,33744457.691912800,33744457.695057958
429,1126254,751,33744457.695063002,33744457.699850231
430,38332,26,33744457.699855641,33744457.700042091
431,75792,51,33744457.700046413,33744457.700346686
432,12277,9,33744457.700350456,33744457.700405017
433,1230258,821,33744457.700410426,33744457.705545492
434,1868,2,33744457.705550343,33744457.705564126
435,15082043,10055,33744457.705567576,33744457.770505503
436,2151004,1435,33744457.770511746,33744457.779617928
437,316137,211,33744457.779623210,33744457.780941263
438,26298,18,33744457.780946091,33744457.781062476
439,5679184,3787,33744457.781066671,33744457.805359162
440,9007048,6005,33744457.805364423,33744457.844368599
441,8462,6,33744457.844374463,33744457.844412379
442,1690643,1128,33744457.844415940,33744457.851515889
443,2936903,1958,33744457.851520836,33744457.864075437
444,522921,349,33744457.864080869,33744457.866328366
445,1002830,669,33744457.866332784,33744457.870683193
446,58846,40,33744457.870694861,33744457.870985582
447,6360686,4241,33744457.870989993,33744457.897957891
448,10452124,6969,33744457.897963442,33744457.942119226
449,45689,31,33744457.942126058,33744457.942340262
450,2050313,1367,33744457.942344062,33744457.951127753
451,56319,38,33744457.951132737,33744457.951373935
452,12269,9,33744457.951378286,33744457.951443866
453,34168,23,33744457.951447286,33744457.951590270
454,6953,5,33744457.951594189,33744457.951624587
455,5459819,3640,33744457.951628119,33744457.974884242
456,9005731,6004,33744457.974889755,33744458.012843400
457,6231,5,33744458.012849510,33744458.012880854
458,202197,135,33744458.012884475,33744458.013721243
459,51508,35,33744458.013725437,33744458.013940342
460,6127,5,33744458.013943925,33744458.013972610
461,29454,20,33744458.013975821,33744458.014105335
462,24318,17,33744458.014109083,33744458.014210872
463,1410071,941,33744458.014219053,33744458.020103917
464,1063,1,33744458.020109281,33744458.020116746
465,17372,12,33744458.020120166,33744458.020191394
466,57524,39,33744458.020194970,33744458.020422556
467,1381,1,33744458.020426080,33744458.020433173
468,311481,208,33744458.020436503,33744458.021738164
469,218960,146,33744458.021742366,33744458.022638589
470,2764595,1844,33744458.022642776,33744458.034246773
471,20542,14,33744458.034252360,33744458.034335703
472,28204,19,33744458.034339286,33744458.034450807
473,94023,63,33744458.034454331,33744458.034856342
474,26913,18,33744458.034860015,33744458.034970053
475,165940,111,33744458.034985945,33744458.035659619
476,24582,17,33744458.035663418,33744458.035770729
477,767113,512,33744458.035774231,33744458.039060265
478,1880227,1254,33744458.039065257,33744458.047230914
479,2165061,1444,33744458.047236145,33744458.056639038
480,11415915,7611,33744458.056644700,33744458.105260059
481,97837,66,33744458.105266191,33744458.105694711
482,69431,47,33744458.105710484,33744458.106022745
483,3331757,2222,33744458.106027126,33744458.120304458
484,1614037,1077,33744458.120309807,33744458.127053536
485,136012,91,33744458.127058543,33744458.127612673
486,45901,31,33744458.127616741,33744458.127819799
487,28120,19,33744458.127823547,33744458.127934955
488,5259,4,33744458.127938971,33744458.127963282
489,2143240,1429,33744458.127966739,33744458.136985712
490,6125,5,33744458.136990778,33744458.137021415
491,1387658,926,33744458.137025297,33744458.142794259
492,97722,66,33744458.142799295,33744458.143234469
493,9511800,6342,33744458.143238626,33744458.183469437
494,1526953,1018,33744458.183475159,33744458.189794362
495,11375717,7584,33744458.189799443,33744458.237965882
496,8140,6,33744458.237975411,33744458.238013774
497,71873,48,33744458.238018073,33744458.238305748
498,139682,94,33744458.238310032,33744458.238899201
499,31774,22,33744458.238903292,33744458.239032596
500,72568,49,33744458.239036113,33744458.239381336
501,40102,27,33744458.239385568,33744458.239544898
502,79536,54,33744458.239548519,33744458.239892170
503,1013,1,33744458.239896469,33744458.239904806
504,58265,39,33744458.239908986,33744458.240180410
505,59810,40,33744458.240185626,33744458.240446314
506,30744,21,33744458.240450986,33744458.240600884
507,49847,34,33744458.240604773,33744458.240825601
508,1778761,1186,33744458.240829490,33744458.248438016
509,765704,511,33744458.248443186,33744458.251627386
510,69806,47,33744458.251631938,33744458.251923084
511,430741,288,33744458.251927450,33744458.253725439
512,44584,30,33744458.253730491,33744458.253909282
513,20319,14,33744458.253915980,33744458.254016034
514,1061,1,33744458.254020087,33744458.254027002
515,27397,19,33744458.254030250,33744458.254154481
516,195251,131,33744458.254158199,33744458.254967950
517,4226681,2818,33744458.254971981,33744458.272758573
518,2618839,1746,33744458.272764109,33744458.284015916
519,74678,50,33744458.284021229,33744458.284315526
520,18649074,12433,33744458.284319490,33744458.364288449
521,62468,42,33744458.364294946,33744458.364570253
522,2745941,1831,33744458.364574790,33744458.376178361
523,51647,35,33744458.376183949,33744458.376416832
524,1362547,909,33744458.376420885,33744458.382332914
525,19044912,12697,33744458.382337838,33744458.463453598
526,30829,21,33744458.463460222,33744458.463584118
527,13252,9,33744458.463588938,33744458.463643149
528,276095,185,33744458.463646837,33744458.464819737
529,81007,55,33744458.464824393,33744458.465164021
530,40639,28,33744458.465168178,33744458.465347454
531,1055,1,33744458.465351269,33744458.465358339
532,47307,32,33744458.465361603,33744458.465582125
533,54902,37,33744458.465586275,33744458.465805396
534,50958,34,33744458.465809099,33744458.466032736
535,3505496,2337,33744458.466036513,33744458.480914772
536,163119,109,33744458.480920307,33744458.481580339
537,1264272,843,33744458.481584802,33744458.486841761
538,4905121,3271,33744458.486846559,33744458.507849529
539,1402241,935,33744458.507867053,33744458.513955534
540,69907,47,33744458.513960823,33744458.514285073
541,1373334,916,33744458.514289260,33744458.520236485
542,382914,256,33744458.520241722,33744458.521930374
543,438274,293,33744458.521934681,33744458.523832351
544,322442,215,33744458.523836657,33744458.525198437
545,51281,35,33744458.525202982,33744458.525450215
546,320304,214,33744458.525457315,33744458.526851550
547,344199,230,33744458.526855737,33744458.528317742
548,7220930,4814,33744458.528322525,33744458.559379645
549,1771211,1181,33744458.559385568,33744458.566855632
550,3055970,2038,33744458.566860989,33744458.579709634
551,1596594,1065,33744458.579714805,33744458.586448126
552,2301535,1535,33744458.586453363,33744458.596573077
553,218378,146,33744458.596578225,33744458.597506575
554,38621,26,33744458.597510897,33744458.597664483
555,25986,18,33744458.597668149,33744458.597774610
556,1057164,705,33744458.597778223,33744458.602391027
557,3937994,2626,33744458.602395669,33744458.619082674
558,96400,65,33744458.619087845,33744458.619489588
559,10291,7,33744458.619493403,33744458.619546831
560,2705526,1804,33744458.619550474,33744458.630855739
561,67875,46,33744458.630860820,33744458.631137758
562,63728,43,33744458.631141700,33744458.631418690
563,2007,2,33744458.631426059,33744458.631439209
564,74495,50,33744458.631442770,33744458.631751157
565,1363653,910,33744458.631755434,33744458.637593694
566,54256,37,33744458.637598544,33744458.637837715
567,39767,27,33744458.637841448,33744458.638029024
568,499285,333,33744458.638033137,33744458.640207827
569,1353,1,33744458.640212849,33744458.640220582
570,73660,50,33744458.640224010,33744458.640538134
571,7894711,5264,33744458.640542008,33744458.674334191
572,857494,572,33744458.674339630,33744458.678052001
573,50348,34,33744458.678056873,33744458.678284436
574,836511,558,33744458.678288653,33744458.681899659
575,216738,145,33744458.681904346,33744458.682852253
576,20734,14,33744458.682856537,33744458.682962179
577,20634,14,33744458.682965666,33744458.683058806
578,4399051,2933,33744458.683062337,33744458.701971717
579,26463,18,33744458.701977178,33744458.702087879
580,3156,3,33744458.702092104,33744458.702111401
581,2649161,1767,33744458.702114806,33744458.713254243
582,78056,53,33744458.713259526,33744458.713593006
583,42505,29,33744458.713597029,33744458.713766977
584,74829,50,33744458.713770702,33744458.714085557
585,1289897,860,33744458.714089453,33744458.719455436
586,12933,9,33744458.719460309,33744458.719521128
587,469842,314,33744458.719525285,33744458.721492998
